date,BC_1MONTH,BC_3MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR,BC_30YEARDISPLAY
2015-01-02,0.02,0.02,0.11,0.25,0.66,1.07,1.61,1.92,2.12,2.41,2.69,2.69
2015-01-05,0.02,0.03,0.10,0.26,0.68,1.06,1.57,1.85,2.04,2.32,2.60,2.60
2015-01-06,0.02,0.03,0.10,0.25,0.65,1.02,1.50,1.78,1.97,2.25,2.52,2.52
2015-01-07,0.02,0.03,0.09,0.25,0.62,1.00,1.47,1.76,1.96,2.25,2.52,2.52
2015-01-08,0.01,0.03,0.08,0.23,0.62,1.00,1.50,1.81,2.03,2.33,2.59,2.59
2015-01-09,0.02,0.02,0.08,0.22,0.59,0.96,1.45,1.75,1.98,2.29,2.55,2.55
2015-01-12,0.02,0.03,0.09,0.19,0.56,0.91,1.39,1.69,1.92,2.23,2.49,2.49
2015-01-13,0.02,0.03,0.08,0.20,0.54,0.88,1.37,1.67,1.91,2.24,2.49,2.49
2015-01-14,0.02,0.04,0.09,0.18,0.51,0.83,1.33,1.62,1.86,2.20,2.47,2.47
2015-01-15,0.03,0.03,0.08,0.16,0.44,0.75,1.22,1.53,1.77,2.12,2.40,2.40
2015-01-16,0.02,0.03,0.07,0.17,0.49,0.80,1.29,1.60,1.83,2.17,2.44,2.44
2015-01-20,0.01,0.03,0.08,0.17,0.53,0.85,1.31,1.61,1.82,2.15,2.39,2.39
2015-01-21,0.01,0.03,0.08,0.17,0.53,0.87,1.35,1.66,1.87,2.20,2.44,2.44
2015-01-22,0.02,0.03,0.08,0.17,0.53,0.90,1.39,1.69,1.90,2.21,2.46,2.46
2015-01-23,0.02,0.02,0.07,0.17,0.52,0.86,1.33,1.62,1.81,2.12,2.38,2.38
2015-01-26,0.02,0.03,0.08,0.18,0.54,0.89,1.36,1.64,1.83,2.14,2.40,2.40
2015-01-27,0.02,0.02,0.08,0.17,0.54,0.87,1.34,1.62,1.83,2.15,2.40,2.40
2015-01-28,0.02,0.02,0.08,0.17,0.50,0.81,1.25,1.53,1.73,2.05,2.29,2.29
2015-01-29,0.01,0.03,0.07,0.17,0.51,0.84,1.28,1.59,1.77,2.11,2.33,2.33
2015-01-30,0.01,0.02,0.07,0.18,0.47,0.77,1.18,1.49,1.68,2.04,2.25,2.25
2015-02-02,0.01,0.02,0.07,0.17,0.49,0.78,1.19,1.49,1.68,2.07,2.25,2.25
2015-02-03,0.02,0.02,0.07,0.21,0.52,0.85,1.28,1.60,1.79,2.16,2.37,2.37
2015-02-04,0.01,0.01,0.06,0.20,0.52,0.86,1.29,1.61,1.81,2.17,2.39,2.39
2015-02-05,0.02,0.02,0.06,0.20,0.52,0.87,1.30,1.62,1.83,2.20,2.42,2.42
2015-02-06,0.01,0.02,0.07,0.26,0.65,1.03,1.48,1.77,1.95,2.28,2.51,2.51
2015-02-09,0.02,0.01,0.08,0.24,0.65,1.04,1.49,1.78,1.96,2.28,2.52,2.52
2015-02-10,0.02,0.01,0.08,0.25,0.67,1.05,1.52,1.82,2.01,2.33,2.58,2.58
2015-02-11,0.02,0.01,0.07,0.24,0.67,1.06,1.53,1.83,2.00,2.33,2.57,2.57
2015-02-12,0.02,0.02,0.07,0.23,0.61,1.02,1.50,1.81,1.99,2.33,2.58,2.58
2015-02-13,0.02,0.01,0.07,0.23,0.66,1.03,1.53,1.84,2.02,2.39,2.63,2.63
2015-02-17,0.02,0.02,0.07,0.25,0.70,1.10,1.62,1.95,2.14,2.49,2.73,2.73
2015-02-18,0.02,0.02,0.07,0.23,0.62,1.00,1.52,1.86,2.07,2.46,2.70,2.70
2015-02-19,0.02,0.02,0.07,0.23,0.67,1.05,1.58,1.92,2.11,2.50,2.73,2.73
2015-02-20,0.02,0.02,0.07,0.23,0.67,1.07,1.61,1.94,2.13,2.50,2.73,2.73
2015-02-23,0.01,0.02,0.08,0.22,0.64,1.03,1.56,1.88,2.06,2.44,2.66,2.66
2015-02-24,0.02,0.02,0.08,0.22,0.60,0.97,1.47,1.79,1.99,2.38,2.60,2.60
2015-02-25,0.02,0.02,0.07,0.21,0.61,0.98,1.47,1.78,1.96,2.35,2.56,2.56
2015-02-26,0.02,0.03,0.07,0.22,0.66,1.04,1.54,1.86,2.03,2.39,2.63,2.63
2015-02-27,0.02,0.02,0.07,0.22,0.63,1.01,1.50,1.82,2.00,2.38,2.60,2.60
2015-03-02,0.02,0.02,0.08,0.22,0.66,1.06,1.57,1.89,2.08,2.46,2.68,2.68
2015-03-03,0.01,0.02,0.08,0.26,0.68,1.09,1.61,1.94,2.12,2.49,2.71,2.71
2015-03-04,0.01,0.01,0.08,0.26,0.66,1.07,1.60,1.93,2.12,2.49,2.72,2.72
2015-03-05,0.02,0.02,0.08,0.25,0.65,1.05,1.57,1.90,2.11,2.49,2.71,2.71
2015-03-06,0.02,0.01,0.08,0.27,0.73,1.16,1.70,2.04,2.24,2.63,2.83,2.83
2015-03-09,0.01,0.02,0.10,0.27,0.70,1.13,1.66,1.99,2.20,2.58,2.80,2.80
2015-03-10,0.03,0.02,0.10,0.25,0.70,1.10,1.62,1.94,2.14,2.51,2.73,2.73
2015-03-11,0.03,0.03,0.10,0.25,0.70,1.09,1.60,1.92,2.11,2.47,2.69,2.69
2015-03-12,0.03,0.03,0.10,0.24,0.67,1.06,1.59,1.91,2.10,2.47,2.69,2.69
2015-03-13,0.03,0.03,0.11,0.24,0.68,1.07,1.60,1.93,2.13,2.48,2.70,2.70
2015-03-16,0.02,0.05,0.15,0.26,0.66,1.06,1.57,1.90,2.10,2.45,2.67,2.67
2015-03-17,0.05,0.05,0.15,0.27,0.70,1.07,1.56,1.87,2.06,2.40,2.61,2.61
2015-03-18,0.02,0.03,0.12,0.23,0.57,0.92,1.41,1.73,1.93,2.31,2.51,2.51
2015-03-19,0.02,0.03,0.12,0.26,0.63,0.99,1.48,1.79,1.98,2.33,2.54,2.54
2015-03-20,0.00,0.01,0.11,0.24,0.60,0.95,1.42,1.73,1.93,2.29,2.50,2.50
2015-03-23,0.02,0.03,0.11,0.24,0.60,0.93,1.41,1.71,1.92,2.29,2.51,2.51
2015-03-24,0.03,0.02,0.11,0.24,0.58,0.91,1.37,1.68,1.88,2.24,2.46,2.46
2015-03-25,0.02,0.04,0.11,0.25,0.59,0.94,1.41,1.73,1.93,2.28,2.50,2.50
2015-03-26,0.02,0.03,0.13,0.28,0.61,0.98,1.47,1.81,2.01,2.37,2.60,2.60
2015-03-27,0.02,0.04,0.12,0.27,0.58,0.92,1.42,1.74,1.95,2.29,2.53,2.53
2015-03-30,0.02,0.04,0.14,0.27,0.58,0.93,1.41,1.74,1.96,2.32,2.55,2.55
2015-03-31,0.05,0.03,0.14,0.26,0.56,0.89,1.37,1.71,1.94,2.31,2.54,2.54
2015-04-01,0.02,0.03,0.12,0.27,0.55,0.86,1.32,1.65,1.87,2.23,2.47,2.47
2015-04-02,0.02,0.02,0.10,0.25,0.55,0.87,1.35,1.69,1.92,2.29,2.53,2.53
2015-04-03,0.04,0.02,0.10,0.21,0.49,0.80,1.26,1.60,1.85,2.24,2.49,2.49
2015-04-06,0.02,0.03,0.10,0.21,0.51,0.83,1.31,1.67,1.92,2.31,2.57,2.57
2015-04-07,0.02,0.02,0.10,0.22,0.52,0.85,1.32,1.66,1.89,2.27,2.52,2.52
2015-04-08,0.02,0.03,0.10,0.22,0.54,0.86,1.35,1.68,1.92,2.28,2.53,2.53
2015-04-09,0.02,0.03,0.10,0.22,0.56,0.89,1.40,1.73,1.97,2.35,2.61,2.61
2015-04-10,0.01,0.02,0.09,0.24,0.57,0.91,1.41,1.73,1.96,2.33,2.58,2.58
2015-04-13,0.02,0.03,0.11,0.23,0.54,0.89,1.38,1.71,1.94,2.33,2.58,2.58
2015-04-14,0.02,0.02,0.10,0.23,0.53,0.85,1.34,1.67,1.90,2.29,2.54,2.54
2015-04-15,0.02,0.02,0.08,0.23,0.51,0.85,1.33,1.66,1.91,2.30,2.55,2.55
2015-04-16,0.03,0.02,0.08,0.22,0.50,0.81,1.31,1.64,1.90,2.31,2.56,2.56
2015-04-17,0.03,0.01,0.08,0.23,0.51,0.84,1.31,1.63,1.87,2.26,2.51,2.51
2015-04-20,0.03,0.03,0.10,0.24,0.55,0.86,1.33,1.65,1.90,2.31,2.56,2.56
2015-04-21,0.02,0.03,0.09,0.23,0.55,0.86,1.35,1.67,1.92,2.33,2.58,2.58
2015-04-22,0.01,0.03,0.10,0.23,0.57,0.91,1.41,1.75,1.99,2.42,2.66,2.66
2015-04-23,0.01,0.03,0.09,0.24,0.55,0.87,1.37,1.70,1.96,2.38,2.63,2.63
2015-04-24,0.03,0.03,0.10,0.24,0.54,0.84,1.34,1.68,1.93,2.36,2.62,2.62
2015-04-27,0.01,0.02,0.10,0.25,0.54,0.87,1.36,1.69,1.94,2.36,2.61,2.61
2015-04-28,0.00,0.02,0.09,0.24,0.56,0.90,1.39,1.75,2.00,2.42,2.68,2.68
2015-04-29,0.00,0.01,0.07,0.25,0.56,0.91,1.43,1.80,2.06,2.49,2.76,2.76
2015-04-30,0.00,0.01,0.06,0.24,0.58,0.91,1.43,1.79,2.05,2.49,2.75,2.75
2015-05-01,0.00,0.01,0.05,0.25,0.60,0.97,1.50,1.87,2.12,2.57,2.82,2.82
2015-05-04,0.01,0.02,0.08,0.25,0.60,0.96,1.51,1.90,2.16,2.62,2.88,2.88
2015-05-05,0.01,0.01,0.08,0.24,0.62,1.00,1.54,1.92,2.19,2.64,2.90,2.90
2015-05-06,0.02,0.02,0.08,0.25,0.65,1.03,1.58,1.97,2.25,2.72,2.98,2.98
2015-05-07,0.01,0.01,0.08,0.24,0.63,1.02,1.55,1.93,2.18,2.63,2.90,2.90
2015-05-08,0.01,0.01,0.08,0.23,0.59,0.96,1.50,1.89,2.16,2.63,2.90,2.90
2015-05-11,0.02,0.02,0.09,0.25,0.62,1.02,1.59,2.00,2.28,2.76,3.03,3.03
2015-05-12,0.01,0.03,0.09,0.25,0.61,1.00,1.58,2.00,2.28,2.75,3.02,3.02
2015-05-13,0.02,0.02,0.09,0.24,0.59,0.97,1.57,2.00,2.27,2.79,3.07,3.07
2015-05-14,0.00,0.01,0.08,0.23,0.56,0.91,1.51,1.94,2.23,2.76,3.03,3.03
2015-05-15,0.02,0.02,0.09,0.23,0.55,0.90,1.46,1.87,2.14,2.66,2.93,2.93
2015-05-18,0.01,0.02,0.08,0.22,0.58,0.95,1.54,1.95,2.23,2.75,3.02,3.02
2015-05-19,0.02,0.02,0.07,0.23,0.63,1.01,1.60,2.01,2.27,2.79,3.05,3.05
2015-05-20,0.02,0.02,0.08,0.23,0.60,0.98,1.57,1.98,2.26,2.79,3.06,3.06
2015-05-21,0.02,0.02,0.07,0.22,0.60,0.95,1.53,1.92,2.19,2.71,2.98,2.98
2015-05-22,0.01,0.02,0.08,0.23,0.64,1.01,1.57,1.96,2.21,2.73,2.99,2.99
2015-05-26,0.01,0.02,0.09,0.24,0.64,0.99,1.54,1.90,2.14,2.64,2.89,2.89
2015-05-27,0.02,0.01,0.09,0.27,0.64,1.00,1.53,1.90,2.14,2.63,2.88,2.88
2015-05-28,0.01,0.01,0.08,0.26,0.62,0.97,1.51,1.89,2.13,2.64,2.89,2.89
2015-05-29,0.01,0.01,0.06,0.26,0.61,0.94,1.49,1.86,2.12,2.63,2.88,2.88
2015-06-01,0.02,0.02,0.07,0.26,0.64,0.99,1.55,1.93,2.19,2.69,2.94,2.94
2015-06-02,0.02,0.01,0.07,0.26,0.64,1.02,1.61,2.01,2.27,2.77,3.02,3.02
2015-06-03,0.02,0.02,0.07,0.26,0.69,1.07,1.69,2.12,2.38,2.87,3.11,3.11
2015-06-04,0.02,0.02,0.08,0.27,0.66,1.04,1.65,2.05,2.31,2.78,3.03,3.03
2015-06-05,0.02,0.03,0.08,0.29,0.73,1.13,1.75,2.16,2.41,2.87,3.11,3.11
2015-06-08,0.01,0.02,0.09,0.27,0.70,1.09,1.72,2.13,2.39,2.86,3.11,3.11
2015-06-09,0.01,0.02,0.08,0.27,0.72,1.12,1.74,2.16,2.42,2.89,3.15,3.15
2015-06-10,0.01,0.02,0.10,0.28,0.75,1.15,1.80,2.22,2.50,2.96,3.22,3.22
2015-06-11,0.01,0.01,0.10,0.28,0.73,1.12,1.74,2.14,2.39,2.84,3.11,3.11
2015-06-12,0.01,0.02,0.10,0.28,0.74,1.12,1.75,2.15,2.39,2.84,3.10,3.10
2015-06-15,0.00,0.02,0.11,0.28,0.72,1.10,1.71,2.11,2.36,2.83,3.09,3.09
2015-06-16,0.00,0.01,0.11,0.28,0.71,1.08,1.68,2.07,2.32,2.79,3.06,3.06
2015-06-17,0.00,0.01,0.10,0.27,0.67,1.03,1.63,2.05,2.32,2.82,3.09,3.09
2015-06-18,0.00,0.01,0.08,0.26,0.66,1.03,1.65,2.08,2.35,2.86,3.14,3.14
2015-06-19,0.00,0.01,0.05,0.25,0.65,0.99,1.59,1.99,2.26,2.76,3.05,3.05
2015-06-22,0.00,0.01,0.08,0.27,0.68,1.06,1.68,2.10,2.37,2.87,3.16,3.16
2015-06-23,0.00,0.01,0.09,0.30,0.70,1.07,1.71,2.14,2.42,2.92,3.20,3.20
2015-06-24,0.00,0.01,0.08,0.30,0.68,1.06,1.69,2.12,2.38,2.87,3.16,3.16
2015-06-25,0.00,0.01,0.07,0.29,0.68,1.06,1.70,2.14,2.40,2.88,3.16,3.16
2015-06-26,0.00,0.01,0.08,0.29,0.72,1.09,1.75,2.20,2.49,2.98,3.25,3.25
2015-06-29,0.00,0.02,0.11,0.27,0.64,1.00,1.62,2.05,2.33,2.82,3.09,3.09
2015-06-30,0.02,0.01,0.11,0.28,0.64,1.01,1.63,2.07,2.35,2.83,3.11,3.11
2015-07-01,0.01,0.01,0.13,0.28,0.69,1.08,1.70,2.14,2.43,2.92,3.20,3.20
2015-07-02,0.01,0.01,0.10,0.26,0.64,1.01,1.64,2.09,2.40,2.90,3.19,3.19
2015-07-06,0.01,0.02,0.09,0.26,0.60,0.95,1.56,2.00,2.30,2.78,3.08,3.08
