date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR,BC_30YEARDISPLAY
2018-01-02,1.29,,1.44,1.61,1.83,1.92,2.01,2.25,2.38,2.46,2.64,2.81,2.81
2018-01-03,1.29,,1.41,1.59,1.81,1.94,2.02,2.25,2.37,2.44,2.62,2.78,2.78
2018-01-04,1.28,,1.41,1.60,1.82,1.96,2.05,2.27,2.38,2.46,2.62,2.79,2.79
2018-01-05,1.27,,1.39,1.58,1.80,1.96,2.06,2.29,2.40,2.47,2.64,2.81,2.81
2018-01-08,1.30,,1.45,1.60,1.79,1.96,2.07,2.29,2.41,2.49,2.65,2.81,2.81
2018-01-09,1.27,,1.44,1.60,1.78,1.98,2.09,2.33,2.46,2.55,2.72,2.88,2.88
2018-01-10,1.31,,1.42,1.59,1.78,1.98,2.08,2.32,2.47,2.55,2.73,2.88,2.88
2018-01-11,1.32,,1.43,1.58,1.77,1.98,2.09,2.32,2.46,2.54,2.72,2.91,2.91
2018-01-12,1.31,,1.43,1.59,1.78,1.99,2.12,2.35,2.48,2.55,2.71,2.85,2.85
2018-01-16,1.33,,1.45,1.63,1.79,2.03,2.12,2.36,2.48,2.54,2.69,2.83,2.83
2018-01-17,1.31,,1.44,1.63,1.79,2.05,2.15,2.39,2.51,2.57,2.71,2.84,2.84
2018-01-18,1.29,,1.45,1.63,1.79,2.05,2.17,2.43,2.55,2.62,2.77,2.90,2.90
2018-01-19,1.28,,1.44,1.62,1.79,2.06,2.20,2.45,2.57,2.64,2.78,2.91,2.91
2018-01-22,1.27,,1.44,1.65,1.79,2.08,2.21,2.46,2.59,2.66,2.79,2.93,2.93
2018-01-23,1.26,,1.44,1.63,1.78,2.06,2.18,2.43,2.55,2.63,2.77,2.90,2.90
2018-01-24,1.25,,1.43,1.63,1.79,2.08,2.20,2.43,2.57,2.65,2.80,2.93,2.93
2018-01-25,1.23,,1.42,1.64,1.80,2.08,2.20,2.41,2.55,2.63,2.76,2.89,2.89
2018-01-26,1.24,,1.41,1.64,1.80,2.13,2.24,2.47,2.60,2.66,2.79,2.91,2.91
2018-01-29,1.28,,1.44,1.66,1.80,2.11,2.26,2.49,2.63,2.70,2.82,2.94,2.94
2018-01-30,1.49,,1.44,1.66,1.88,2.13,2.27,2.51,2.65,2.73,2.86,2.98,2.98
2018-01-31,1.43,,1.46,1.66,1.90,2.14,2.29,2.52,2.66,2.72,2.83,2.95,2.95
2018-02-01,1.41,,1.48,1.64,1.89,2.16,2.33,2.56,2.72,2.78,2.90,3.01,3.01
2018-02-02,1.40,,1.48,1.65,1.88,2.15,2.33,2.58,2.76,2.84,2.97,3.08,3.08
2018-02-05,1.40,,1.51,1.67,1.85,2.08,2.25,2.50,2.68,2.77,2.92,3.04,3.04
2018-02-06,1.48,,1.52,1.69,1.87,2.10,2.30,2.52,2.70,2.79,2.94,3.06,3.06
2018-02-07,1.36,,1.55,1.73,1.91,2.15,2.33,2.57,2.75,2.84,3.01,3.12,3.12
2018-02-08,1.32,,1.55,1.73,1.91,2.13,2.32,2.57,2.76,2.85,3.03,3.14,3.14
2018-02-09,1.31,,1.55,1.73,1.89,2.05,2.26,2.52,2.72,2.83,3.02,3.14,3.14
2018-02-12,1.35,,1.62,1.82,1.93,2.09,2.30,2.56,2.77,2.86,3.02,3.14,3.14
2018-02-13,1.34,,1.59,1.80,1.95,2.10,2.30,2.54,2.74,2.83,2.99,3.11,3.11
2018-02-14,1.32,,1.58,1.81,1.98,2.17,2.40,2.65,2.84,2.91,3.07,3.18,3.18
2018-02-15,1.30,,1.58,1.82,1.99,2.19,2.40,2.65,2.83,2.90,3.04,3.15,3.15
2018-02-16,1.35,,1.62,1.83,2.00,2.21,2.38,2.63,2.81,2.87,3.02,3.13,3.13
2018-02-20,1.39,,1.66,1.87,2.01,2.25,2.40,2.65,2.81,2.88,3.04,3.15,3.15
2018-02-21,1.40,,1.64,1.85,2.03,2.26,2.44,2.69,2.86,2.94,3.11,3.22,3.22
2018-02-22,1.34,,1.63,1.84,2.02,2.25,2.42,2.66,2.84,2.92,3.09,3.21,3.21
2018-02-23,1.38,,1.64,1.85,2.02,2.25,2.39,2.62,2.79,2.88,3.04,3.16,3.16
2018-02-26,1.39,,1.66,1.87,2.03,2.22,2.37,2.60,2.77,2.86,3.03,3.15,3.15
2018-02-27,1.49,,1.66,1.87,2.08,2.27,2.43,2.67,2.83,2.90,3.06,3.17,3.17
2018-02-28,1.50,,1.65,1.86,2.07,2.25,2.42,2.65,2.80,2.87,3.02,3.13,3.13
2018-03-01,1.50,,1.63,1.85,2.05,2.22,2.36,2.58,2.74,2.81,2.97,3.09,3.09
2018-03-02,1.50,,1.65,1.86,2.06,2.25,2.40,2.63,2.79,2.86,3.02,3.14,3.14
2018-03-05,1.53,,1.70,1.86,2.06,2.24,2.41,2.65,2.81,2.88,3.04,3.16,3.16
2018-03-06,1.56,,1.68,1.87,2.06,2.25,2.42,2.65,2.81,2.88,3.03,3.14,3.14
2018-03-07,1.57,,1.68,1.87,2.05,2.25,2.42,2.65,2.81,2.89,3.04,3.15,3.15
2018-03-08,1.57,,1.67,1.89,2.05,2.25,2.42,2.63,2.79,2.86,3.01,3.13,3.13
2018-03-09,1.57,,1.67,1.89,2.03,2.27,2.45,2.65,2.82,2.90,3.04,3.16,3.16
2018-03-12,1.60,,1.71,1.89,2.05,2.27,2.43,2.64,2.79,2.87,3.00,3.13,3.13
2018-03-13,1.64,,1.73,1.90,2.03,2.26,2.41,2.62,2.77,2.84,2.98,3.10,3.10
2018-03-14,1.71,,1.76,1.94,2.05,2.26,2.41,2.61,2.75,2.81,2.94,3.05,3.05
2018-03-15,1.70,,1.77,1.95,2.07,2.29,2.42,2.62,2.76,2.82,2.94,3.05,3.05
2018-03-16,1.71,,1.78,1.96,2.08,2.31,2.44,2.65,2.78,2.85,2.96,3.08,3.08
2018-03-19,1.70,,1.80,1.99,2.08,2.31,2.45,2.65,2.78,2.85,2.97,3.09,3.09
2018-03-20,1.76,,1.81,1.97,2.08,2.34,2.49,2.69,2.82,2.89,3.01,3.12,3.12
2018-03-21,1.71,,1.74,1.95,2.06,2.31,2.46,2.69,2.82,2.89,3.01,3.12,3.12
2018-03-22,1.67,,1.72,1.95,2.05,2.29,2.43,2.63,2.76,2.83,2.94,3.06,3.06
2018-03-23,1.69,,1.74,1.92,2.04,2.28,2.41,2.61,2.74,2.82,2.94,3.06,3.06
2018-03-26,1.71,,1.79,1.94,2.06,2.33,2.44,2.64,2.78,2.85,2.96,3.08,3.08
